sample,scan speed,laser power,linear energy density,mean surface,lb,rb,tb,bb
A5D_9,607,306.25,0.5045,0,0,0,0,0
A5D_10,1321,68.75,0.052,0,0,0,0,0
A5D_11,821,256.25,0.3121,0,0,0,0,0
A5D_12,750,106.25,0.1416,0,0,0,0,0
A5D_13,1964,218.75,0.1113,0,0,0,0,0
A5D_14,2464,168.75,0.0684,0,0,0,0,0
A5D_15,1821,143.75,0.0789,0,0,0,0,0
A5D_16,1036,293.75,0.2835,0,0,0,0,0
A5D_17,1179,343.75,0.2915,0,0,0,0,0
A5D_18,893,243.75,0.2729,0,0,0,0,0
A5D_19,1750,368.75,0.2107,0,0,0,0,0
A5D_20,964,393.75,0.4084,0,0,0,0,0
A5D_21,1679,81.25,0.0483,0,0,0,0,0
A5D_22,1107,318.75,0.2879,0,0,0,0,0
A5D_23,2036,56.25,0.0276,0,0,0,0,0
A5D_24,1393,231.25,0.166,0,0,0,0,0
A5D_25,2393,193.75,0.0809,0,0,0,0,0
A5D_26,2321,381.25,0.1642,0,0,0,0,0
A5D_27,1250,206.25,0.165,0,0,0,0,0
